,word,sense_index,name,lexname,pos,definition,examples
12,keys,12,winder.n.02,noun.artifact,n,mechanical device used to wind another device that is driven by a spring (as a clock),
13,keys,13,keystone.n.02,noun.artifact,n,the central building block at the top of an arch or vault,
14,keys,14,key.n.15,noun.artifact,n,a lever (as in a keyboard) that actuates a mechanism when depressed,
15,keys,15,identify.v.05,verb.cognition,v,"identify as in botany or biology, for example",
16,keys,16,key.v.02,verb.possession,v,provide with a key,We were keyed after the locks were changed in the building
17,keys,17,key.v.03,verb.contact,v,vandalize a car by scratching the sides with a key,His new Mercedes was keyed last night in the parking lot
18,keys,18,key.v.04,verb.change,v,regulate the musical pitch of,
19,keys,19,key.v.05,verb.change,v,harmonize with or adjust to,key one's actions to the voters' prevailing attitude
0,telephone,0,telephone.n.01,noun.artifact,n,electronic equipment that converts sound into electrical signals that can be transmitted over distances and then converts received signals back into sounds,I talked to him on the telephone
1,telephone,1,telephone.n.02,noun.communication,n,transmitting speech at a distance,
2,telephone,2,call.v.03,verb.communication,v,get or try to get into communication (with someone) by telephone,I tried to call you all night;Take two aspirin and call me in the morning
0,potty,0,toilet.n.02,noun.artifact,n,a plumbing fixture for defecation and urination,
1,potty,1,chamberpot.n.01,noun.artifact,n,a receptacle for urination or defecation in the bedroom,
2,potty,2,enamored.s.01,adj.all,s,marked by foolish or unreasoning fondness,gaga over the rock group's new album;he was infatuated with her
3,potty,3,potty.s.02,adj.all,s,(British informal) trivial,potty little details
4,potty,4,potty.s.03,adj.all,s,slightly intoxicated,
0,hand,0,hand.n.01,noun.body,n,the (prehensile) extremity of the superior limb,he had the hands of a surgeon;he extended his mitt
1,hand,1,hired_hand.n.01,noun.person,n,a hired laborer on a farm or ranch,the hired hand fixed the railing;a ranch hand
2,hand,2,handwriting.n.01,noun.communication,n,something written by hand,she recognized his handwriting;his hand was illegible
3,hand,3,hand.n.04,noun.cognition,n,ability,he wanted to try his hand at singing
4,hand,4,hand.n.05,noun.location,n,a position given by its location to the side of an object,objections were voiced on every hand
5,hand,5,hand.n.06,noun.group,n,the cards held in a card game by a given player at any given time,I didn't hold a good hand all evening;he kept trying to see my hand
6,hand,6,hand.n.07,noun.cognition,n,one of two sides of an issue,"on the one hand..., but on the other hand..."
7,hand,7,hand.n.08,noun.artifact,n,a rotating pointer on the face of a timepiece,the big hand counts the minutes
8,hand,8,hand.n.09,noun.quantity,n,a unit of length equal to 4 inches; used in measuring horses,the horse stood 20 hands
9,hand,9,hand.n.10,noun.person,n,a member of the crew of a ship,all hands on deck
10,hand,10,bridge_player.n.01,noun.person,n,a card player in a game of bridge,we need a 4th hand for bridge
11,hand,11,hand.n.12,noun.communication,n,a round of applause to signify approval,give the little lady a great big hand
12,hand,12,hand.n.13,noun.animal,n,terminal part of the forelimb in certain vertebrates (e.g. apes or kangaroos),"the kangaroo's forearms seem undeveloped but the powerful five-fingered hands are skilled at feinting and clouting""- Springfield (Mass.) Union"
13,hand,13,hand.n.14,noun.act,n,physical assistance,give me a hand with the chores
14,hand,14,pass.v.05,verb.possession,v,place into the hands or custody of,"hand me the spoon, please;Turn the files over to me, please;He turned over the prisoner to his lawyers"
15,hand,15,hand.v.02,verb.motion,v,guide or conduct or usher somewhere,hand the elderly lady into the taxi
0,drink,0,drink.n.01,noun.food,n,a single serving of a beverage,I asked for a hot drink;likes a drink before dinner
1,drink,1,drink.n.02,noun.act,n,the act of drinking alcoholic beverages to excess,drink was his downfall
2,drink,2,beverage.n.01,noun.food,n,any liquid suitable for drinking,may I take your beverage order?
3,drink,3,drink.n.04,noun.object,n,any large deep body of water,he jumped into the drink and had to be rescued
4,drink,4,swallow.n.02,noun.act,n,the act of swallowing,one swallow of the liquid was enough;he took a drink of his beer and smacked his lips
5,drink,5,drink.v.01,verb.consumption,v,take in liquids,The patient must drink several liters each day;The children like to drink soda
6,drink,6,drink.v.02,verb.consumption,v,consume alcohol,We were up drinking all night
7,drink,7,toast.v.02,verb.consumption,v,propose a toast to,Let us toast the birthday girl!;Let's drink to the New Year
8,drink,8,drink_in.v.01,verb.cognition,v,be fascinated or spell-bound by; pay close attention to,The mother drinks in every word of her son on the stage
9,drink,9,drink.v.05,verb.consumption,v,drink excessive amounts of alcohol; be an alcoholic,The husband drinks and beats his wife
0,kiss,0,kiss.n.01,noun.act,n,the act of caressing with the lips (or an instance thereof),
1,kiss,1,kiss.n.02,noun.food,n,a cookie made of egg whites and sugar,
2,kiss,2,kiss.n.03,noun.food,n,any of several bite-sized candies,
3,kiss,3,kiss.n.04,noun.act,n,a light glancing touch,there was a brief kiss of their hands in passing
4,kiss,4,snog.v.01,verb.contact,v,"touch with the lips or press the lips (against someone's mouth or other body part) as an expression of love, greeting, etc.",The newly married couple kissed;She kissed her grandfather on the forehead when she entered the room
5,kiss,5,kiss.v.02,verb.contact,v,touch lightly or gently,the blossoms were kissed by the soft rain
0,bug,0,bug.n.01,noun.animal,n,general term for any insect or similar creeping or crawling invertebrate,
1,bug,1,bug.n.02,noun.state,n,"a fault or defect in a computer program, system, or machine",
2,bug,2,bug.n.03,noun.artifact,n,a small hidden microphone; for listening secretly,
3,bug,3,hemipterous_insect.n.01,noun.animal,n,insects with sucking mouthparts and forewings thickened and leathery at the base; usually show incomplete metamorphosis,
4,bug,4,microbe.n.01,noun.animal,n,a minute life form (especially a disease-causing bacterium); the term is not in technical use,
5,bug,5,tease.v.01,verb.emotion,v,annoy persistently,The children teased the boy because of his stammer
6,bug,6,wiretap.v.01,verb.perception,v,tap a telephone or telegraph wire to get information,The FBI was tapping the phone line of the suspected spy;Is this hotel room bugged?
0,monkey,0,monkey.n.01,noun.animal,n,any of various long-tailed primates (excluding the prosimians),
1,monkey,1,imp.n.02,noun.person,n,one who is playfully mischievous,
2,monkey,2,tamper.v.01,verb.contact,v,"play around with or alter or falsify, usually secretively or dishonestly",Someone tampered with the documents on my desk;The reporter fiddle with the facts
3,monkey,3,putter.v.02,verb.contact,v,"do random, unplanned work or activities or spend time idly",The old lady is usually mucking about in her little house
0,block,0,block.n.01,noun.artifact,n,a solid piece of something (usually having flat rectangular sides),the pyramids were built with large stone blocks
1,block,1,block.n.02,noun.location,n,a rectangular area in a city surrounded by streets and usually containing several buildings,he lives in the next block
2,block,2,block.n.03,noun.shape,n,a three-dimensional shape with six square or rectangular sides,
3,block,3,block.n.04,noun.group,n,a number or quantity of related things dealt with as a unit,he reserved a large block of seats;he held a large block of the company's stock
4,block,4,block.n.05,noun.artifact,n,housing in a large building that is divided into separate units,there is a block of classrooms in the west wing
5,block,5,block.n.06,noun.quantity,n,(computer science) a sector or group of sectors that function as the smallest data unit permitted,"since blocks are often defined as a single sector, the terms `block' and `sector' are sometimes used interchangeably"
6,block,6,block.n.07,noun.cognition,n,an inability to remember or think of something you normally can do; often caused by emotional tension,I knew his name perfectly well but I had a temporary block
7,block,7,pulley.n.01,noun.artifact,n,a simple machine consisting of a wheel with a groove in which a rope can run to change the direction or point of application of a force applied to the rope,
8,block,8,engine_block.n.01,noun.artifact,n,a metal casting containing the cylinders and cooling ducts of an engine,the engine had to be replaced because the block was cracked
9,block,9,blockage.n.02,noun.artifact,n,an obstruction in a pipe or tube,we had to call a plumber to clear out the blockage in the drainpipe
10,block,10,auction_block.n.01,noun.artifact,n,a platform from which an auctioneer sells,they put their paintings on the block
11,block,11,blocking.n.01,noun.act,n,the act of obstructing or deflecting someone's movements,
12,block,12,barricade.v.01,verb.contact,v,render unsuitable for passage,block the way;barricade the streets;stop the busy road
13,block,13,obstruct.v.01,verb.social,v,hinder or prevent the progress or accomplishment of,His brother blocked him at every turn
14,block,14,stop.v.03,verb.social,v,stop from happening or developing,Block his election;Halt the process
15,block,15,jam.v.04,verb.communication,v,interfere with or prevent the reception of signals,Jam the Voice of America;block the signals emitted by this station
16,block,16,block.v.05,verb.social,v,run on a block system,block trains
17,block,17,block.v.06,verb.perception,v,interrupt the normal function of by means of anesthesia,block a nerve;block a muscle
18,block,18,obstruct.v.03,verb.perception,v,shut out from view or get in the way so as to hide from sight,The thick curtain blocked the action on the stage;The trees obstruct my view of the mountains
19,block,19,block.v.08,verb.contact,v,stamp or emboss a title or design on a book with a block,block the book cover
20,block,20,stuff.v.03,verb.contact,v,obstruct,My nose is all stuffed;Her arteries are blocked
21,block,21,obstruct.v.02,verb.contact,v,block passage through,obstruct the path
22,block,22,block.v.11,verb.contact,v,"support, secure, or raise with a block",block a plate for printing;block the wheels of a car
23,block,23,parry.v.01,verb.competition,v,impede the movement of (an opponent or a ball),block an attack
24,block,24,forget.v.02,verb.cognition,v,be unable to remember,I'm drawing a blank;You are blocking the name of your first wife!
25,block,25,block.v.14,verb.change,v,shape by using a block,Block a hat;block a garment
26,block,26,block.v.15,verb.change,v,shape into a block or blocks,block the graphs so one can see the results clearly
27,block,27,freeze.v.08,verb.change,v,prohibit the conversion or use of (assets),Blocked funds;Freeze the assets of this hostile government
0,toy,0,plaything.n.01,noun.artifact,n,an artifact designed to be played with,
1,toy,1,toy.n.02,noun.artifact,n,a nonfunctional replica of something else (frequently used as a modifier),a toy stove
2,toy,2,toy.n.03,noun.artifact,n,a device regarded as providing amusement,private airplanes are a rich man's toy
3,toy,3,miniature.n.02,noun.artifact,n,a copy that reproduces a person or thing in greatly reduced size,
4,toy,4,toy_dog.n.01,noun.animal,n,any of several breeds of very small dogs kept purely as pets,
5,toy,5,dally.v.01,verb.social,v,behave carelessly or indifferently,Play about with a young girl's affection
6,toy,6,toy.v.02,verb.contact,v,manipulate manually or in one's mind or imagination,She played nervously with her wedding ring;Don't fiddle with the screws;He played with the idea of running for the Senate
7,toy,7,play.v.16,verb.body,v,engage in an activity as if it were a game rather than take it seriously,They played games on their opponents;play the stock market;play with her feelings;toy with an idea
0,tummy,0,pot.n.07,noun.body,n,slang for a paunch,
1,tummy,1,stomach.n.01,noun.body,n,an enlarged and muscular saclike organ of the alimentary canal; the principal organ of digestion,
0,pizza,0,pizza.n.01,noun.food,n,Italian open pie made of thin bread dough spread with a spiced mixture of e.g. tomato sauce and cheese,
0,off,0,murder.v.01,verb.social,v,kill intentionally and with premeditation,The mafia boss ordered his enemies murdered
1,off,1,off.a.01,adj.all,a,not in operation or operational,the oven is off;the lights are off
2,off,2,off.s.02,adj.all,s,below a satisfactory level,an off year for tennis;his performance was off
3,off,3,off.a.03,adj.all,a,(of events) no longer planned or scheduled,the wedding is definitely off
4,off,4,off.s.04,adj.all,s,in an unpalatable state,sour milk
5,off,5,off.s.05,adj.all,s,not performing or scheduled for duties,He's off every Tuesday
6,off,6,away.r.01,adv.all,r,from a particular thing or place or position (`forth' is obsolete),ran away from the lion;wanted to get away from there;sent the children away to boarding school;the teacher waved the children away from the dead animal;went off to school;they drove off;go forth and preach
7,off,7,off.r.02,adv.all,r,at a distance in space or time,the boat was 5 miles off (or away);the party is still 2 weeks off (or away);away back in the 18th century
8,off,8,off.r.03,adv.all,r,no longer on or in contact or attached,clean off the dirt;he shaved off his mustache
0,head,0,head.n.01,noun.body,n,the upper part of the human body or the front part of the body in animals; contains the face and brains,he stuck his head out the window
1,head,1,head.n.02,noun.animal,n,a single domestic animal,200 head of cattle
2,head,2,mind.n.01,noun.cognition,n,that which is responsible for one's thoughts and feelings; the seat of the faculty of reason,his mind wandered;I couldn't get his words out of my head
3,head,3,head.n.04,noun.person,n,a person who is in charge,the head of the whole operation
4,head,4,head.n.05,noun.group,n,the front of a military formation or procession,the head of the column advanced boldly;they were at the head of the attack
5,head,5,head.n.06,noun.phenomenon,n,the pressure exerted by a fluid,a head of steam
6,head,6,head.n.07,noun.location,n,the top of something,the head of the stairs;the head of the page;the head of the list
7,head,7,fountainhead.n.02,noun.location,n,the source of water from which a stream arises,they tracked him back toward the head of the stream
8,head,8,head.n.09,noun.communication,n,(grammar) the word in a grammatical constituent that plays the same grammatical role as the whole constituent,
9,head,9,head.n.10,noun.state,n,the tip of an abscess (where the pus accumulates),
10,head,10,head.n.11,noun.quantity,n,the length or height based on the size of a human or animal head,he is two heads taller than his little sister;his horse won by a head
11,head,11,capitulum.n.01,noun.plant,n,a dense cluster of flowers or foliage,a head of cauliflower;a head of lettuce
12,head,12,principal.n.02,noun.person,n,the educator who has executive authority for a school,she sent unruly pupils to see the principal
13,head,13,head.n.14,noun.person,n,an individual person,tickets are $5 per head
14,head,14,head.n.15,noun.person,n,a user of (usually soft) drugs,the office was full of secret heads
15,head,15,promontory.n.01,noun.object,n,a natural elevation (especially a rocky one that juts out into the sea),
16,head,16,head.n.17,noun.object,n,a rounded compact mass,the head of a comet
17,head,17,head.n.18,noun.object,n,the foam or froth that accumulates at the top when you pour an effervescent liquid into a container,the beer had a large head of foam
18,head,18,forefront.n.01,noun.location,n,the part in the front or nearest the viewer,he was in the forefront;he was at the head of the column
19,head,19,pass.n.09,noun.event,n,a difficult juncture,a pretty pass;matters came to a head yesterday
20,head,20,headway.n.02,noun.event,n,forward movement,the ship made little headway against the gale
21,head,21,point.n.20,noun.communication,n,a V-shaped mark at one end of an arrow pointer,the point of the arrow was due north
22,head,22,question.n.02,noun.communication,n,the subject matter at issue,the question of disease merits serious discussion;under the head of minor Roman poets
23,head,23,heading.n.01,noun.communication,n,a line of text serving to indicate what the passage below it is about,the heading seemed to have little to do with the text
24,head,24,head.n.25,noun.body,n,the rounded end of a bone that fits into a rounded cavity in another bone to form a joint,the head of the humerus
25,head,25,head.n.26,noun.body,n,that part of a skeletal muscle that is away from the bone that it moves,
26,head,26,read/write_head.n.01,noun.artifact,n,(computer science) a tiny electromagnetic coil and metal pole used to write and read magnetic patterns on a disk,
27,head,27,head.n.28,noun.artifact,n,(usually plural) the obverse side of a coin that usually bears the representation of a person's head,call heads or tails!
28,head,28,head.n.29,noun.artifact,n,the striking part of a tool,the head of the hammer
29,head,29,head.n.30,noun.artifact,n,(nautical) a toilet on board a boat or ship,
30,head,30,head.n.31,noun.artifact,n,a projection out from one end,"the head of the nail"", ""a pinhead is the head of a pin"
31,head,31,drumhead.n.01,noun.artifact,n,a membrane that is stretched taut over a drum,
32,head,32,oral_sex.n.01,noun.act,n,oral stimulation of the genitals,they say he gives good head
33,head,33,head.v.01,verb.motion,v,to go or travel towards,where is she heading;We were headed for the mountains
34,head,34,head.v.02,verb.social,v,be in charge of,Who is heading this project?
35,head,35,lead.v.04,verb.motion,v,travel in front of; go in advance of others,The procession was headed by John
36,head,36,head.v.04,verb.stative,v,be the first or leading member of (a group) and excel,This student heads the class
37,head,37,steer.v.01,verb.motion,v,direct the course; determine the direction of travelling,
38,head,38,head.v.06,verb.stative,v,take its rise,These rivers head from a mountain range in the Himalayas
39,head,39,head.v.07,verb.stative,v,be in the front of or on top of,The list was headed by the name of the president
40,head,40,head.v.08,verb.stative,v,form a head or come or grow to a head,The wheat headed early this year
41,head,41,head.v.09,verb.contact,v,remove the head of,head the fish
0,toothbrush,0,toothbrush.n.01,noun.artifact,n,small brush; has long handle; used to clean teeth,
1,toothbrush,1,soup-strainer.n.01,noun.body,n,slang for a mustache,
0,bread,0,bread.n.01,noun.food,n,food made from dough of flour or meal and usually raised with yeast or baking powder and then baked,
1,bread,1,boodle.n.01,noun.possession,n,informal terms for money,
2,bread,2,bread.v.01,verb.contact,v,cover with bread crumbs,bread the pork chops before frying them
0,bicycle,0,bicycle.n.01,noun.artifact,n,a wheeled vehicle that has two wheels and is moved by foot pedals,
1,bicycle,1,bicycle.v.01,verb.motion,v,ride a bicycle,
0,tv,0,television.n.01,noun.communication,n,broadcasting visual images of stationary or moving objects,"she is a star of screen and video;Television is a medium because it is neither rare nor well done"" - Ernie Kovacs"
1,tv,1,television_receiver.n.01,noun.artifact,n,an electronic device that receives television signals and displays them on a screen,the British call a tv set a telly
0,home,0,home.n.01,noun.location,n,where you live at a particular time,deliver the package to my home;he doesn't have a home to go to;your place or mine?
1,home,1,dwelling.n.01,noun.artifact,n,housing that someone is living in,he built a modest dwelling near the pond;they raise money to provide homes for the homeless
2,home,2,home.n.03,noun.location,n,the country or state or city where you live,Canadian tariffs enabled United States lumber companies to raise prices at home;his home is New Jersey
3,home,3,home_plate.n.01,noun.artifact,n,(baseball) base consisting of a rubber slab where the batter stands; it must be touched by a base runner in order to score,he ruled that the runner failed to touch home
4,home,4,base.n.14,noun.location,n,the place where you are stationed and from which missions start and end,
5,home,5,home.n.06,noun.location,n,place where something began and flourished,the United States is the home of basketball
6,home,6,home.n.07,noun.state,n,an environment offering affection and security,home is where the heart is;he grew up in a good Christian home;there's no place like home
7,home,7,family.n.01,noun.group,n,a social unit living together,he moved his family to Virginia;It was a good Christian household;I waited until the whole house was asleep;the teacher asked how many people made up his home
8,home,8,home.n.09,noun.artifact,n,an institution where people are cared for,a home for the elderly
9,home,9,home.v.01,verb.social,v,"provide with, or send to, a home",
10,home,10,home.v.02,verb.motion,v,return home accurately from a long distance,homing pigeons
11,home,11,home.a.01,adj.all,a,used of your own ground,a home game
12,home,12,home.a.02,adj.pert,a,relating to or being where one lives or where one's roots are,my home town
13,home,13,home.s.03,adj.all,s,inside the country,the British Home Office has broader responsibilities than the United States Department of the Interior;the nation's internal politics
14,home,14,home.r.01,adv.all,r,at or to or in the direction of one's home or family,He stays home on weekends;after the game the children brought friends home for supper;I'll be home tomorrow;came riding home in style;I hope you will come home for Christmas;I'll take her home;don't forget to write home
15,home,15,home.r.02,adv.all,r,on or to the point aimed at,the arrow struck home
16,home,16,home.r.03,adv.all,r,to the fullest extent; to the heart,drove the nail home;drove his point home;his comments hit home
0,shirt,0,shirt.n.01,noun.artifact,n,a garment worn on the upper half of the body,
1,shirt,1,shirt.v.01,verb.body,v,put a shirt on,
0,tooth,0,tooth.n.01,noun.body,n,hard bonelike structures in the jaws of vertebrates; used for biting and chewing or for attack and defense,
1,tooth,1,tooth.n.02,noun.artifact,n,something resembling the tooth of an animal,
2,tooth,2,tooth.n.03,noun.animal,n,toothlike structure in invertebrates found in the mouth or alimentary canal or on a shell,
3,tooth,3,tooth.n.04,noun.act,n,a means of enforcement,the treaty had no teeth in it
4,tooth,4,tooth.n.05,noun.artifact,n,one of a number of uniform projections on a gear,
0,on,0,on.a.01,adj.all,a,in operation or operational,left the oven on;the switch is in the on position
1,on,1,on.a.02,adj.all,a,(of events) planned or scheduled,"the picnic is on, rain or shine;we have nothing on for Friday night"
2,on,2,along.r.01,adv.all,r,with a forward motion,we drove along admiring the view;the horse trotted along at a steady pace;the circus traveled on to the next city;move along;march on
3,on,3,on.r.02,adv.all,r,indicates continuity or persistence or concentration,his spirit lives on;shall I read on?
4,on,4,on.r.03,adv.all,r,in a state required for something to function or be effective,turn the lights on;get a load on
0,finger,0,finger.n.01,noun.body,n,any of the terminal members of the hand (sometimes excepting the thumb),her fingers were long and thin
1,finger,1,finger.n.02,noun.quantity,n,the length of breadth of a finger used as a linear measure,
2,finger,2,finger.n.03,noun.artifact,n,one of the parts of a glove that provides covering for a finger or thumb,
3,finger,3,finger.v.01,verb.contact,v,feel or handle with the fingers,finger the binding of the book
4,finger,4,feel.v.09,verb.contact,v,examine by touch,Feel this soft cloth!;The customer fingered the sweater
5,finger,5,finger.v.03,verb.contact,v,search for on the computer,I fingered my boss and found that he is not logged on in the afternoons
6,finger,6,finger.v.04,verb.communication,v,indicate the fingering for the playing of musical scores for keyboard instruments,
0,swing,0,swing.n.01,noun.state,n,a state of steady vigorous action that is characteristic of an activity,the party went with a swing;it took time to get into the swing of things
1,swing,1,swing.n.02,noun.artifact,n,mechanical device used as a plaything to support someone swinging back and forth,
2,swing,2,swing.n.03,noun.act,n,a sweeping blow or stroke,he took a wild swing at my head
3,swing,3,swing.n.04,noun.act,n,changing location by moving back and forth,
4,swing,4,swing.n.05,noun.communication,n,a style of jazz played by big bands popular in the 1930s; flowing rhythms but less complex than later styles of jazz,
5,swing,5,lilt.n.01,noun.attribute,n,a jaunty rhythm in music,
6,swing,6,golf_stroke.n.01,noun.act,n,the act of swinging a golf club at a golf ball and (usually) hitting it,
7,swing,7,baseball_swing.n.01,noun.act,n,in baseball; a batter's attempt to hit a pitched ball,he took a vicious cut at the ball
8,swing,8,swing.n.09,noun.act,n,a square dance figure; a pair of dancers join hands and dance around a point between them,
9,swing,9,swing.v.01,verb.motion,v,"move in a curve or arc, usually with the intent of hitting",He swung his left fist;swing a bat
10,swing,10,swing.v.02,verb.motion,v,move or walk in a swinging or swaying manner,He swung back
11,swing,11,swing.v.03,verb.motion,v,change direction with a swinging motion; turn,swing back;swing forward
12,swing,12,swing.v.04,verb.social,v,influence decisively,This action swung many votes over to his side
13,swing,13,swing.v.05,verb.contact,v,make a big sweeping gesture or movement,
14,swing,14,dangle.v.01,verb.stative,v,hang freely,the ornaments dangled from the tree;The light dropped from the ceiling
15,swing,15,swing.v.07,verb.competition,v,hit or aim at with a sweeping arm movement,The soccer player began to swing at the referee
16,swing,16,swing.v.08,verb.change,v,alternate dramatically between high and low values,his mood swings;the market is swinging up and down
17,swing,17,swing.v.09,verb.stative,v,"live in a lively, modern, and relaxed style",The Woodstock generation attempted to swing freely
18,swing,18,swing.v.10,verb.stative,v,have a certain musical rhythm,The music has to swing
19,swing,19,swing.v.11,verb.social,v,be a social swinger; socialize a lot,
20,swing,20,swing.v.12,verb.creation,v,play with a subtle and intuitively felt sense of rhythm,
21,swing,21,swing.v.13,verb.contact,v,"engage freely in promiscuous sex, often with the husband or wife of one's friends",There were many swinging couples in the 1960's
0,hug,0,hug.n.01,noun.act,n,a tight or amorous embrace,come here and give me a big hug
1,hug,1,embrace.v.02,verb.contact,v,"squeeze (someone) tightly in your arms, usually with fondness","Hug me, please;They embraced;He hugged her close to him"
2,hug,2,hug.v.02,verb.contact,v,fit closely or tightly,The dress hugged her hips
0,open,0,open.n.01,noun.location,n,a clear or unobstructed space or expanse of land or water,finally broke out of the forest into the open
1,open,1,outdoors.n.01,noun.location,n,where the air is unconfined,he wanted to get outdoors a little;the concert was held in the open air;camping in the open
2,open,2,open.n.03,noun.event,n,a tournament in which both professionals and amateurs may play,
3,open,3,open.n.04,noun.cognition,n,information that has become public,all the reports were out in the open;the facts had been brought to the surface
4,open,4,open.v.01,verb.contact,v,cause to open or to become open,Mary opened the car door
5,open,5,open.v.02,verb.social,v,start to operate or function or cause to start operating or functioning,open a business
6,open,6,open.v.03,verb.contact,v,become open,The door opened
7,open,7,open.v.04,verb.social,v,"begin or set in action, of meetings, speeches, recitals, etc.",He opened the meeting with a long speech
8,open,8,unfold.v.04,verb.contact,v,spread out or open from a closed or folded state,open the map;spread your arms
9,open,9,open.v.06,verb.change,v,make available,This opens up new possibilities
10,open,10,open.v.07,verb.change,v,become available,an opportunity opened up
11,open,11,open.v.08,verb.stative,v,have an opening or passage or outlet,The bedrooms open into the hall
12,open,12,open.v.09,verb.competition,v,make the opening move,Kasparov opened with a standard opening
13,open,13,afford.v.04,verb.possession,v,afford access to,the door opens to the patio;The French doors give onto a terrace
14,open,14,open.v.11,verb.perception,v,display the contents of a file or start an application as on a computer,
15,open,15,open.a.01,adj.all,a,affording unobstructed entrance and exit; not shut or closed,an open door;they left the door open
16,open,16,open.a.02,adj.all,a,affording free passage or access,open drains;the road is open to traffic;open ranks
17,open,17,exposed.s.01,adj.all,s,with no protection or shield,the exposed northeast frontier;open to the weather;an open wound
18,open,18,open.s.04,adj.all,s,open to or in view of all,an open protest;an open letter to the editor
19,open,19,open.a.05,adj.all,a,used of mouth or eyes,keep your eyes open;his mouth slightly opened
20,open,20,open.s.06,adj.all,s,not having been filled,the job is still open
21,open,21,open.s.07,adj.all,s,accessible to all,open season;an open economy
22,open,22,assailable.s.01,adj.all,s,not defended or capable of being defended,an open city;open to attack
23,open,23,loose.s.09,adj.all,s,(of textures) full of small openings or gaps,an open texture;a loose weave
24,open,24,open.s.10,adj.all,s,having no protecting cover or enclosure,an open boat;an open fire;open sports cars
25,open,25,open.a.11,adj.all,a,(set theory) of an interval that contains neither of its endpoints,
26,open,26,open.s.12,adj.all,s,not brought to a conclusion; subject to further thought,an open question;our position on this bill is still undecided;our lawsuit is still undetermined
27,open,27,open.s.13,adj.all,s,not sealed or having been unsealed,the letter was already open;the opened package lay on the table
28,open,28,open.s.14,adj.all,s,without undue constriction as from e.g. tenseness or inhibition,the clarity and resonance of an open tone;her natural and open response
29,open,29,receptive.a.02,adj.all,a,ready or willing to receive favorably,receptive to the proposals
30,open,30,overt.a.01,adj.all,a,open and observable; not secret or hidden,an overt lie;overt hostility;overt intelligence gathering;open ballots
31,open,31,open.s.17,adj.all,s,not requiring union membership,an open shop employs nonunion workers
32,open,32,capable.s.02,adj.all,s,possibly accepting or permitting,a passage capable of misinterpretation;open to interpretation;an issue open to question;the time is fixed by the director and players and therefore subject to much variation
33,open,33,clear.s.03,adj.all,s,affording free passage or view,a clear view;a clear path to victory;open waters;the open countryside
34,open,34,candid.s.03,adj.all,s,openly straightforward and direct without reserve or secretiveness,his candid eyes;an open and trusting nature;a heart-to-heart talk
35,open,35,open.s.21,adj.all,s,ready for business,the stores are open
0,arm,0,arm.n.01,noun.body,n,a human limb; technically the part of the superior limb between the shoulder and the elbow but commonly used to refer to the whole superior limb,
1,arm,1,arm.n.02,noun.artifact,n,any projection that is thought to resemble a human arm,the arm of the record player;an arm of the sea;a branch of the sewer
2,arm,2,weapon.n.01,noun.artifact,n,any instrument or instrumentality used in fighting or hunting,he was licensed to carry a weapon
3,arm,3,arm.n.04,noun.artifact,n,the part of an armchair or sofa that supports the elbow and forearm of a seated person,
4,arm,4,branch.n.01,noun.group,n,a division of some larger or more complex organization,a branch of Congress;botany is a branch of biology;the Germanic branch of Indo-European languages
5,arm,5,sleeve.n.01,noun.artifact,n,the part of a garment that is attached at the armhole and that provides a cloth covering for the arm,
6,arm,6,arm.v.01,verb.competition,v,prepare oneself for a military confrontation,The U.S. is girding for a conflict in the Middle East;troops are building up on the Iraqi border
7,arm,7,arm.v.02,verb.possession,v,supply with arms,The U.S. armed the freedom fighters in Afghanistan
0,ice,0,ice.n.01,noun.substance,n,water frozen in the solid state,Americans like ice in their drinks
1,ice,1,ice.n.02,noun.object,n,the frozen part of a body of water,
2,ice,2,ice.n.03,noun.possession,n,diamonds,look at the ice on that dame!
3,ice,3,frosting.n.01,noun.food,n,a flavored sugar topping used to coat and decorate cakes,
4,ice,4,ice.n.05,noun.food,n,a frozen dessert with fruit flavoring (especially one containing no milk),
5,ice,5,methamphetamine.n.01,noun.artifact,n,an amphetamine derivative (trade name Methedrine) used in the form of a crystalline hydrochloride; used as a stimulant to the nervous system and as an appetite suppressant,
6,ice,6,internal-combustion_engine.n.01,noun.artifact,n,a heat engine in which combustion occurs inside the engine rather than in a separate furnace; heat expands a gas that either moves a piston or turns a gas turbine,
7,ice,7,ice_rink.n.01,noun.artifact,n,a rink with a floor of ice for ice hockey or ice skating,the crowd applauded when she skated out onto the ice
8,ice,8,frost.v.01,verb.contact,v,decorate with frosting,frost a cake
9,ice,9,ice.v.02,verb.change,v,cause to become ice or icy,an iced summer drink
10,ice,10,ice.v.03,verb.change,v,put ice on or put on ice,Ice your sprained limbs
0,brush,0,brush.n.01,noun.group,n,a dense growth of bushes,
1,brush,1,brush.n.02,noun.artifact,n,an implement that has hairs or bristles firmly set into a handle,
2,brush,2,brush.n.03,noun.event,n,momentary contact,
3,brush,3,brush.n.04,noun.artifact,n,conducts current between rotating and stationary parts of a generator or motor,
4,brush,4,brush.n.05,noun.animal,n,a bushy tail or part of a bushy tail (especially of the fox),
5,brush,5,brush.n.06,noun.act,n,a minor short-term fight,
6,brush,6,brush.n.07,noun.act,n,the act of brushing your teeth,the dentist recommended two brushes a day
7,brush,7,brush.n.08,noun.act,n,the act of brushing your hair,he gave his hair a quick brush
